Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,3.000000,3.040000,2.990000,3.020000,2.893825,3555600
2018-07-16,3.070000,3.080000,3.050000,3.060000,2.932153,1916900
2018-07-17,3.090000,3.100000,3.080000,3.090000,2.960900,603100
2018-07-18,3.080000,3.090000,3.030000,3.040000,2.912989,4277700
2018-07-19,3.090000,3.090000,3.060000,3.090000,2.960900,1125800
2018-07-20,3.090000,3.120000,3.080000,3.110000,2.980064,140800
2018-07-23,3.120000,3.160000,3.120000,3.160000,3.027976,162800
2018-07-24,3.150000,3.180000,3.140000,3.160000,3.027976,280500
2018-07-25,3.190000,3.220000,3.180000,3.220000,3.085469,164700
2018-07-26,3.210000,3.360000,3.180000,3.320000,3.181290,205600
2018-07-27,3.550000,3.620000,3.550000,3.580000,3.430428,339700
2018-07-30,3.520000,3.550000,3.510000,3.520000,3.372935,108300
2018-07-31,3.550000,3.630000,3.540000,3.570000,3.420846,1175200
2018-08-01,3.530000,3.530000,3.480000,3.510000,3.363352,303700
2018-08-02,3.490000,3.510000,3.480000,3.510000,3.363352,135700
2018-08-03,3.540000,3.580000,3.530000,3.570000,3.420846,101900
2018-08-06,3.570000,3.590000,3.550000,3.580000,3.430428,61700
2018-08-07,3.570000,3.590000,3.550000,3.570000,3.420846,125800
2018-08-08,3.570000,3.620000,3.570000,3.590000,3.440010,92800
2018-08-09,3.590000,3.590000,3.560000,3.570000,3.420846,135800
2018-08-10,3.490000,3.530000,3.470000,3.500000,3.353770,214700
2018-08-13,3.480000,3.510000,3.450000,3.460000,3.315441,252800
2018-08-14,3.430000,3.460000,3.430000,3.450000,3.305859,286800
2018-08-15,3.400000,3.440000,3.380000,3.430000,3.286695,210500
2018-08-16,3.420000,3.480000,3.420000,3.480000,3.334606,222000
2018-08-17,3.420000,3.450000,3.410000,3.440000,3.296277,346300
2018-08-20,3.460000,3.480000,3.430000,3.480000,3.334606,128100
2018-08-21,3.510000,3.570000,3.510000,3.550000,3.401681,158000
2018-08-22,3.590000,3.620000,3.590000,3.620000,3.468756,130900
2018-08-23,3.590000,3.630000,3.570000,3.590000,3.440010,402300
2018-08-24,3.640000,3.640000,3.620000,3.630000,3.478339,59900
2018-08-27,3.660000,3.680000,3.620000,3.660000,3.507086,62900
2018-08-28,3.700000,3.710000,3.690000,3.700000,3.545414,72800
2018-08-29,3.640000,3.670000,3.610000,3.670000,3.516668,84900
2018-08-30,3.630000,3.640000,3.580000,3.620000,3.468756,72200
2018-08-31,3.560000,3.590000,3.490000,3.500000,3.353770,406100
2018-09-04,3.500000,3.530000,3.490000,3.530000,3.382517,87300
2018-09-05,3.500000,3.510000,3.460000,3.490000,3.344188,129400
2018-09-06,3.500000,3.500000,3.470000,3.490000,3.344188,381000
2018-09-07,3.550000,3.590000,3.530000,3.560000,3.411263,75300
2018-09-10,3.680000,3.720000,3.680000,3.700000,3.545414,122800
2018-09-11,3.640000,3.680000,3.630000,3.680000,3.526250,332000
2018-09-12,3.710000,3.750000,3.700000,3.740000,3.583743,144300
2018-09-13,3.730000,3.750000,3.720000,3.740000,3.583743,100300
2018-09-14,3.710000,3.730000,3.680000,3.700000,3.545414,204200
2018-09-17,3.780000,3.790000,3.740000,3.750000,3.593325,111100
2018-09-18,3.800000,3.830000,3.800000,3.820000,3.660400,123400
