,Date,Open,High,Low,Close,Adj Close,Volume
612,2018-06-08,3.54,3.6,3.53,3.56,3.411263,461900
613,2018-06-11,3.61,3.62,3.56,3.6,3.449592,393900
614,2018-06-12,3.67,3.7,3.62,3.68,3.52625,677600
615,2018-06-13,3.63,3.66,3.59,3.61,3.459174,296600
616,2018-06-14,3.62,3.68,3.62,3.64,3.487921,683000
617,2018-06-15,3.63,3.65,3.55,3.63,3.478339,535600
618,2018-06-18,3.56,3.63,3.54,3.62,3.468756,2543900
619,2018-06-19,3.43,3.55,3.43,3.54,3.392099,465500
620,2018-06-20,3.48,3.54,3.46,3.46,3.3154410000000003,614200
621,2018-06-21,3.44,3.47,3.35,3.43,3.286695,288800
622,2018-06-22,3.47,3.47,3.4,3.44,3.296277,740000
623,2018-06-25,3.41,3.45,3.38,3.4,3.257948,510400
624,2018-06-26,3.37,3.38,3.32,3.36,3.219619,455700
625,2018-06-27,3.28,3.31,3.23,3.25,3.114215,243800
626,2018-06-28,3.23,3.3,3.21,3.23,3.0950509999999998,559600
627,2018-06-29,3.23,3.28,3.2,3.22,3.085469,3629800
628,2018-07-02,3.22,3.22,3.17,3.19,3.056722,398800
629,2018-07-03,3.2,3.23,3.19,3.21,3.075886,184300
630,2018-07-05,3.34,3.35,3.3,3.32,3.18129,1314200
631,2018-07-06,3.36,3.36,3.32,3.33,3.190873,493100
632,2018-07-09,3.34,3.36,3.32,3.33,3.190873,4333900
633,2018-07-10,3.3,3.33,3.29,3.3,3.1621259999999998,4209000
634,2018-07-11,3.18,3.2,3.1,3.1,2.970482,13148800
635,2018-07-12,3.03,3.05,3.0,3.03,2.903407,15623100
636,2018-07-13,3.0,3.04,2.99,3.02,2.893825,3555600
637,2018-07-16,3.07,3.08,3.05,3.06,2.932153,1916900
638,2018-07-17,3.09,3.1,3.08,3.09,2.9609,603100
639,2018-07-18,3.08,3.09,3.03,3.04,2.912989,4277700
640,2018-07-19,3.09,3.09,3.06,3.09,2.9609,1125800
641,2018-07-20,3.09,3.12,3.08,3.11,2.980064,140800
642,2018-07-23,3.12,3.16,3.12,3.16,3.027976,162800
643,2018-07-24,3.15,3.18,3.14,3.16,3.027976,280500
644,2018-07-25,3.19,3.22,3.18,3.22,3.085469,164700
645,2018-07-26,3.21,3.36,3.18,3.32,3.18129,205600
646,2018-07-27,3.55,3.62,3.55,3.58,3.430428,339700
647,2018-07-30,3.52,3.55,3.51,3.52,3.372935,108300
648,2018-07-31,3.55,3.63,3.54,3.57,3.420846,1175200
649,2018-08-01,3.53,3.53,3.48,3.51,3.363352,303700
650,2018-08-02,3.49,3.51,3.48,3.51,3.363352,135700
651,2018-08-03,3.54,3.58,3.53,3.57,3.420846,101900
652,2018-08-06,3.57,3.59,3.55,3.58,3.430428,61700
653,2018-08-07,3.57,3.59,3.55,3.57,3.420846,125800
654,2018-08-08,3.57,3.62,3.57,3.59,3.44001,92800
655,2018-08-09,3.59,3.59,3.56,3.57,3.420846,135800
656,2018-08-10,3.49,3.53,3.47,3.5,3.35377,214700
657,2018-08-13,3.48,3.51,3.45,3.46,3.3154410000000003,252800
658,2018-08-14,3.43,3.46,3.43,3.45,3.3058589999999994,286800
659,2018-08-15,3.4,3.44,3.38,3.43,3.286695,210500
660,2018-08-16,3.42,3.48,3.42,3.48,3.334606,222000
661,2018-08-17,3.42,3.45,3.41,3.44,3.296277,346300
662,2018-08-20,3.46,3.48,3.43,3.48,3.334606,128100
663,2018-08-21,3.51,3.57,3.51,3.55,3.401681,158000
664,2018-08-22,3.59,3.62,3.59,3.62,3.468756,130900
665,2018-08-23,3.59,3.63,3.57,3.59,3.44001,402300
666,2018-08-24,3.64,3.64,3.62,3.63,3.478339,59900
667,2018-08-27,3.66,3.68,3.62,3.66,3.507086,62900
668,2018-08-28,3.7,3.71,3.69,3.7,3.545414,72800
669,2018-08-29,3.64,3.67,3.61,3.67,3.516668,84900
670,2018-08-30,3.63,3.64,3.58,3.62,3.468756,72200
671,2018-08-31,3.56,3.59,3.49,3.5,3.35377,406100
672,2018-09-04,3.5,3.53,3.49,3.53,3.382517,87300
673,2018-09-05,3.5,3.51,3.46,3.49,3.344188,129400
674,2018-09-06,3.5,3.5,3.47,3.49,3.344188,381000
675,2018-09-07,3.55,3.59,3.53,3.56,3.411263,75300
676,2018-09-10,3.68,3.72,3.68,3.7,3.545414,122800
677,2018-09-11,3.64,3.68,3.63,3.68,3.52625,332000
678,2018-09-12,3.71,3.75,3.7,3.74,3.583743,144300
679,2018-09-13,3.73,3.75,3.72,3.74,3.583743,100300
680,2018-09-14,3.71,3.73,3.68,3.7,3.545414,204200
681,2018-09-17,3.78,3.79,3.74,3.75,3.593325,111100
